generation	param	Ind1	Ind2	Ind3	Ind4	Ind5	Ind6	Ind7	Ind8	Ind9	Ind10	Ind11	Ind12	Ind13	Ind14	Ind15	Ind16	Ind17	Ind18	Ind19	Ind20	Ind21	Ind22	Ind23	Ind24	Ind25	Ind26	Ind27	Ind28	Ind29	Ind30	Ind31	Ind32	Ind33	Ind34	Ind35	Ind36	Ind37	Ind38	Ind39	Ind40	Ind41	Ind42	Ind43	Ind44	Ind45	Ind46	Ind47	Ind48	Ind49	Ind50	Ind51	Ind52	Ind53	Ind54	Ind55	Ind56	Ind57	Ind58	Ind59	Ind60	Ind61	Ind62	Ind63	Ind64	Ind65	Ind66	Ind67	Ind68	Ind69	Ind70	Ind71	Ind72	Ind73	Ind74	Ind75	Ind76	Ind77	Ind78	Ind79	Ind80	Ind81	Ind82	Ind83	Ind84	Ind85	Ind86	Ind87	Ind88	Ind89	Ind90	Ind91	Ind92	Ind93	Ind94	Ind95	Ind96	Ind97	Ind98	Ind99	Ind100	Hapl1	Hapl2	Hapl3	Hapl4	Hapl5	Hapl6	Hapl7	Hapl8	Hapl9	Hapl10	Hapl11	Hapl12	Hapl13	Hapl14	Hapl15	Hapl16	Hapl17	Hapl18	Hapl19	Hapl20	Hapl21	Hapl22	Hapl23	Hapl24	Hapl25	Hapl26	Hapl27	Hapl28	Hapl29	Hapl30	Hapl31	Hapl32	Hapl33	Hapl34	Hapl35	Hapl36	Hapl37	Hapl38	Hapl39	Hapl40	Hapl41	Hapl42	Hapl43	Hapl44	Hapl45	Hapl46	Hapl47	Hapl48	Hapl49	Hapl50	Hapl51	Hapl52	Hapl53	Hapl54	Hapl55	Hapl56	Hapl57	Hapl58	Hapl59	Hapl60	Hapl61	Hapl62	Hapl63	Hapl64	Hapl65	Hapl66	Hapl67	Hapl68	Hapl69	Hapl70	Hapl71	Hapl72	Hapl73	Hapl74	Hapl75	Hapl76	Hapl77	Hapl78	Hapl79	Hapl80	Hapl81	Hapl82	Hapl83	Hapl84	Hapl85	Hapl86	Hapl87	Hapl88	Hapl89	Hapl90	Hapl91	Hapl92	Hapl93	Hapl94	Hapl95	Hapl96	Hapl97	Hapl98	Hapl99	Hapl100
10	slope	0.0	0.0	0.0	0.0	0.0	0.0	-0.00531447	0.0	0.0	0.0	0.00336568	0.0	0.0	0.0	0.00845414	-0.00472034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00451253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00456579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019912	-0.000330927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00713321	0.0	0.0	0.0	0.00861006	0.0	0.0	0.00494371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00736433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00613965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00655586	0.0	0.0	0.0	0.00730233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00887707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00322384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00655586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	intercept	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.510855	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.503854	0.5	0.5	0.5	0.497399	0.5	0.493965	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.4967	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.502129	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.49617	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.516243	0.498381	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.513198	0.5	0.5	0.518686	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.49683	0.5	0.5	0.5	0.5	0.5	0.494387	0.5	0.503474	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
1000	slope	0.0332849	0.0275427	-0.0258475	0.000109345	-0.0370753	0.00193049	-0.0132944	-0.00152587	0.0102173	-0.00683561	0.000647879	0.00371858	0.00537283	0.00225098	-0.0152074	0.0130626	-0.0492527	-0.0012235	0.00261155	-0.0136654	-0.00430839	0.00142869	-0.00437749	-0.0147482	-0.0416384	-0.0155718	-0.0193096	-0.0323454	0.00193049	-0.00708821	0.00193049	-0.00562859	0.00322963	-0.0601514	-0.00846928	-0.0442174	-0.0222392	-0.0444448	-0.0491985	-0.042877	-0.0437262	0.0154588	-0.0270736	-0.0142713	0.00649666	-0.039344	-0.00423537	-0.0453995	-0.0378335	-0.0125716	-0.00923156	-0.0340799	0.0146753	0.00418721	-0.00627483	0.00146286	-0.0397933	0.00193049	-0.0106675	-0.0181345	0.0251144	-0.0105086	0.0020967	0.00568732	-0.0133804	-0.0325337	-0.0270202	-0.028495	-0.0264867	-0.0160747	0.00622542	0.0251144	0.00193049	0.0067198	-0.0297461	-0.00733665	0.0140896	0.00193049	0.0140896	-0.0263625	-0.0083146	-0.0316428	-0.0340799	-0.0220345	-0.0126788	0.00749113	-0.0156076	-0.0270736	-0.0152913	-0.00905183	0.0156167	-0.00985067	-0.0341689	-0.00969425	0.00605857	-0.0250103	-0.0423098	-0.00813512	-0.0157399	-0.0188599	-0.0330265	-0.0390093	0.00193049	0.00193049	0.00193049	0.000647879	-0.0340799	0.0251144	-0.0340799	-0.0340799	-0.0461239	0.00193049	-0.00444517	-0.042191	0.00193049	-0.00905183	-0.0270736	-0.0297461	0.00749113	0.00261155	0.00193049	0.0138786	0.0162744	-0.00843108	-0.0498605	0.00193049	-0.0340799	0.0382733	0.0186746	0.0180938	-0.0446417	-0.0145825	-0.0340799	0.00193049	-0.00292055	0.00193049	-0.0340799	0.00387296	0.00193049	-0.0437262	0.0130626	-0.0445875	-0.0470427	0.00628533	-0.01	0.0102786	0.0120729	-0.0334491	0.00558572	0.000647879	0.00193049	0.00193049	0.00193049	-0.0448157	0.00681071	0.00193049	-0.0270736	0.00193049	0.0147454	0.00868399	-0.0340799	0.00193049	-0.0340799	-0.0495495	-0.0342579	-0.0483535	-0.0340799	-0.0297461	-0.0448157	-0.0181431	-0.044933	0.00430262	-0.0477502	0.00145546	0.0251144	-0.0493045	-0.00971823	0.00937784	0.00193049	0.00300794	0.00502804	-0.0318311	-0.0342579	-0.0340799	-0.0495495	0.0200867	0.014769	-0.0340799	-0.0152233	0.0169664	0.00300794	0.00193049	-0.0601514	-0.044933	-0.0362171	-0.0285842	-0.044933	-0.0270736	-0.0453995	-0.0270736
1000	intercept	0.408926	0.411437	0.375699	0.386527	0.386414	0.40055	0.369293	0.393665	0.393353	0.410342	0.403264	0.369479	0.405968	0.391976	0.395583	0.37943	0.371539	0.400915	0.372186	0.360891	0.367423	0.382158	0.387431	0.403073	0.37288	0.397165	0.389516	0.395825	0.405895	0.429042	0.366881	0.420347	0.367423	0.351525	0.409156	0.355374	0.377674	0.421722	0.375748	0.364322	0.373286	0.399563	0.378923	0.381935	0.407424	0.378723	0.371822	0.349748	0.37405	0.3738	0.373909	0.37522	0.379592	0.410056	0.424624	0.364798	0.363512	0.410574	0.404226	0.410824	0.407526	0.377325	0.374323	0.411975	0.373393	0.397217	0.387939	0.389316	0.376412	0.393385	0.375414	0.402496	0.382603	0.403264	0.382599	0.390892	0.427554	0.386333	0.427554	0.37522	0.402911	0.396455	0.37522	0.36804	0.391465	0.370734	0.383825	0.396513	0.388388	0.41075	0.37636	0.395024	0.373462	0.398379	0.402728	0.368863	0.366879	0.391857	0.400518	0.3827	0.378457	0.370503	0.369479	0.382158	0.394576	0.391212	0.383168	0.407526	0.37522	0.37522	0.382118	0.403412	0.408641	0.349748	0.412715	0.41075	0.382599	0.382599	0.372608	0.372186	0.366881	0.389027	0.421577	0.389776	0.366463	0.381821	0.378507	0.372186	0.372608	0.431951	0.366369	0.374253	0.38416	0.406023	0.361313	0.384169	0.370503	0.378546	0.378737	0.368746	0.37195	0.358355	0.373286	0.40988	0.419544	0.404675	0.432063	0.382599	0.362074	0.403264	0.362715	0.366881	0.358473	0.382522	0.388113	0.40055	0.396513	0.403412	0.40619	0.384169	0.376461	0.388113	0.37522	0.37288	0.365248	0.376461	0.367158	0.382599	0.382522	0.393759	0.375748	0.388113	0.37522	0.415059	0.407526	0.37288	0.408888	0.418773	0.394789	0.409667	0.456627	0.377557	0.373286	0.376461	0.37288	0.37727	0.372186	0.376461	0.408888	0.372186	0.409667	0.420803	0.351525	0.375748	0.37522	0.37364	0.375748	0.39907	0.349748	0.378812
2000	slope	-0.054108	-0.0509168	-0.0631192	-0.0458116	-0.00983527	-0.0479421	-0.0290524	0.00472547	-0.0544199	-0.0484285	-0.0835143	-0.0461262	-0.0500229	-0.0341184	-0.0280002	-0.0270119	-0.0402551	-0.038903	-0.0185876	-0.0307233	-0.0753732	-0.0664865	-0.084034	-0.051321	-0.0332495	-0.0666121	-0.030034	-0.0264657	-0.0763058	-0.039774	-0.0577726	-0.0385156	-0.0693969	-0.0259501	-0.00748264	-0.000184959	-0.0241894	-0.0665121	-0.0351543	-0.0703435	-0.0413703	-0.0185269	-0.0580432	-0.0600266	-0.0530463	-0.0558799	-0.0262629	-0.0485194	-0.0695075	-0.053173	-0.0645277	-0.0143751	-0.0841565	-0.0456963	-0.0595909	-0.0219921	-0.0721399	-0.0534088	-0.0414665	-0.0524835	-0.0462056	-0.0346363	-0.0117063	-0.031101	-0.0570628	-0.0482327	-0.0483154	-0.057583	-0.053268	-0.0550125	-0.0438973	-0.0418205	-0.0343515	-0.0457447	-0.0323604	-0.00983527	-0.0244647	-0.0571253	-0.000184959	-0.014312	-0.0570326	-0.048554	-0.0382464	-0.0388294	-0.0558799	-0.0455411	-0.0685845	-0.0534088	-0.0215901	-0.0409876	-0.0299421	-0.0500229	-0.051321	-0.0457537	-0.0513088	-0.0449746	-0.012823	-0.029705	-0.0373598	-0.0240029	-0.014312	-0.0524653	-0.0500229	-0.0536015	-0.0797842	-0.0102768	-0.0763058	-0.0665121	-0.0374864	-0.0499869	-0.0346757	-0.056853	-0.0127984	-0.0191398	-0.0548903	-0.028836	-0.0835143	-0.0270119	-0.0116152	-0.0444065	-0.0350755	-0.0241894	-0.0175149	-0.0346871	-0.000184959	-0.0685845	-0.0368638	-0.0524835	-0.0685195	-0.000184959	0.0091347	-0.010574	-0.0492639	-0.029313	-0.0271399	-0.0077893	-0.0262629	-0.038903	-0.0732694	-0.0820124	-0.0189568	-0.0492396	-0.0669439	-0.00983527	-0.0344326	-0.0835143	-0.0646449	-0.0642162	-0.0463541	-0.0595844	-0.0588698	-0.0461653	-0.0497072	-0.0626905	-0.0402551	-0.0412706	-0.0743179	-0.0340525	-0.0599765	-0.0479421	-0.00983527	-0.0558799	-0.0695075	-0.0430395	-0.029705	-0.0500229	-0.0465816	-0.0536015	-0.0503704	-0.0603415	-0.0665899	-0.0733194	-0.0216566	-0.0254387	-0.04033	-0.0524653	-0.0534088	-0.0549982	-0.0351359	-0.0546267	-0.0465816	-0.0255375	-0.0116152	-0.109571	-0.0675642	-0.0249495	-0.0565619	-0.0404135	-0.012823	-0.0206863	-0.0698388	-0.0524653	-0.0430577	-0.0455411	-0.0685845	-0.015346	-0.0594363	-0.0188125	-0.0661999	-0.0570326
2000	intercept	0.26339	0.291771	0.275821	0.261383	0.256777	0.265794	0.265822	0.266436	0.280932	0.278716	0.265631	0.290065	0.276015	0.296098	0.292751	0.274122	0.277081	0.277029	0.236537	0.281997	0.282511	0.281786	0.29679	0.267715	0.280728	0.272597	0.280678	0.255883	0.288889	0.277081	0.269496	0.263123	0.287798	0.26322	0.259036	0.25993	0.265794	0.267986	0.265838	0.293575	0.266766	0.262165	0.25588	0.276015	0.276926	0.291982	0.274336	0.295388	0.28125	0.287724	0.27024	0.263153	0.29047	0.273	0.312052	0.269117	0.288985	0.285174	0.291771	0.28616	0.29284	0.262475	0.276969	0.274336	0.292798	0.271732	0.306098	0.280382	0.272323	0.291771	0.291106	0.273333	0.276311	0.283893	0.263501	0.242427	0.268041	0.30158	0.264714	0.245483	0.259607	0.280718	0.265838	0.280715	0.251323	0.254737	0.267868	0.285174	0.265794	0.267234	0.278783	0.276015	0.261553	0.288003	0.306994	0.277336	0.260641	0.266798	0.274564	0.27897	0.245483	0.25898	0.276015	0.288316	0.286473	0.274336	0.287154	0.267986	0.284386	0.265838	0.276642	0.284356	0.285083	0.274336	0.278344	0.296035	0.265631	0.274122	0.276651	0.278371	0.291771	0.265794	0.304554	0.291771	0.264707	0.282394	0.265838	0.28616	0.303048	0.264707	0.274336	0.245483	0.300379	0.278305	0.292187	0.29779	0.269282	0.277029	0.265631	0.298308	0.253553	0.269496	0.282394	0.245305	0.271175	0.265631	0.274123	0.304957	0.265814	0.272232	0.274552	0.275821	0.281758	0.28616	0.277081	0.284448	0.295297	0.283154	0.278344	0.265794	0.245483	0.291982	0.273815	0.276015	0.276644	0.276015	0.278371	0.288316	0.326292	0.275444	0.274552	0.288889	0.266069	0.265794	0.269496	0.276023	0.285174	0.269496	0.299098	0.278371	0.278371	0.284386	0.276651	0.326196	0.243535	0.278861	0.310544	0.294454	0.260641	0.26322	0.269496	0.263303	0.278371	0.298175	0.295297	0.255883	0.289118	0.277582	0.268895	0.259607
3000	slope	0.0289551	-0.0134053	-0.0230181	-0.0206785	-0.00105673	0.00128417	-0.0479521	-0.0295939	-0.00920147	-0.0337162	-0.00209812	-0.0164839	-0.0238725	-0.00906713	-0.00608259	-0.0212146	0.00354802	-0.0587561	-0.0178734	-0.00943677	-0.0349242	-0.017334	-0.0142773	-0.0177658	0.00393707	-0.0115127	-0.00354032	-0.0150705	0.0153731	-0.0266074	-0.00589077	-0.00589077	-0.0254378	-0.00804382	-0.0227323	-0.00412566	0.0165323	-0.0309528	-0.0214224	-0.029776	-0.0272249	-0.0308824	-0.0313026	-0.0397603	-0.0127427	-0.049878	-0.0111249	0.0289551	-0.0362448	-0.016189	-0.011606	0.0102242	0.00128417	-0.0185457	-0.040533	-0.0324803	-0.0117602	-0.0202536	0.0171185	-0.00589077	-0.0287616	-0.00429275	-0.0185474	-0.0290019	-0.0225295	-0.016837	-0.00525568	-0.0159588	-0.0225547	-0.0385548	-0.0440274	-0.0310974	-0.00914752	-0.052866	-0.0158676	-0.0131286	-0.049878	-0.0267246	-0.0267488	-0.0490988	-0.0365108	-0.00979158	-0.0220267	-0.0402622	0.00770599	0.0150367	-0.0479521	-0.0239625	-0.0166921	0.0127596	0.0032321	0.0416638	0.00957698	-0.0130309	-0.0206785	0.015099	-0.0219601	-0.019983	-0.0175785	-0.0278545	-0.00300239	-0.0513655	-0.0142773	-0.029776	-0.00721004	0.00211209	-0.0230181	-0.0335262	-0.00847939	-0.00412566	-0.016189	-0.0209878	-0.0395582	-0.0262841	-0.0346453	-0.0630056	-0.046502	-0.000554059	-0.0236057	-0.0209878	-0.0329158	-0.0380061	-0.00241443	-0.0142773	-0.0166388	0.00368796	-0.0262841	-0.0346453	-0.00925161	0.0413489	0.0122072	-0.0167454	-0.0228263	-0.049878	0.0413489	-0.0266184	-0.0236057	-0.0142773	-0.0243723	-0.0226036	-0.0412903	-0.00978107	-0.0287945	0.0289551	-0.049878	0.0122072	-0.0262841	-0.0142773	-0.00834504	-0.00200466	-0.0564028	-0.0691559	-0.0185876	-0.026543	-0.0285947	-0.0458506	-0.0164839	-0.0209878	-0.0130309	-0.049878	-0.00349128	-0.0142773	-0.0114188	-0.0209878	-0.0227323	-0.020118	-0.0167454	-0.0278313	-0.00921936	-0.0239697	-0.0285947	-0.00978107	-0.0139861	0.0168814	-0.0272249	-0.0166525	-0.0366893	-0.0206785	-0.0285947	-0.0285947	-0.0244199	-0.0335262	-0.0483039	-0.00770058	-0.0044594	-0.00182799	-0.0259496	-0.0272249	-0.049878	-0.049878	-0.0159118	0.00685066	-0.0147487	-0.0262841	-0.0291521	-0.00254932	0.00356653	-0.0207859	-0.017833	-0.0363579
3000	intercept	0.144568	0.156053	0.166594	0.178487	0.176172	0.176338	0.178483	0.18518	0.179141	0.195725	0.179459	0.188985	0.187563	0.196469	0.161184	0.188356	0.213556	0.1726	0.174312	0.170136	0.151418	0.158919	0.152129	0.170173	0.192531	0.19501	0.202824	0.205208	0.167285	0.184628	0.156053	0.17127	0.171321	0.185316	0.15185	0.187936	0.180795	0.168902	0.168096	0.184797	0.174422	0.165415	0.174444	0.16347	0.165632	0.196224	0.196156	0.144568	0.190665	0.173882	0.159436	0.183517	0.155453	0.183051	0.127906	0.161309	0.166423	0.143404	0.149932	0.156053	0.18916	0.146122	0.15077	0.193476	0.129891	0.150341	0.18591	0.161438	0.184748	0.179362	0.187608	0.182044	0.160579	0.182218	0.187485	0.199796	0.208399	0.159539	0.185163	0.173543	0.175711	0.182984	0.169991	0.148222	0.182792	0.19405	0.178483	0.177351	0.16373	0.155603	0.159417	0.188897	0.19033	0.185374	0.178483	0.180367	0.16766	0.17175	0.198107	0.144428	0.156854	0.190419	0.152016	0.184797	0.203778	0.172581	0.166594	0.165398	0.187287	0.175591	0.173882	0.15185	0.147234	0.163936	0.137005	0.189623	0.19544	0.156053	0.152863	0.167707	0.188431	0.161014	0.155296	0.149787	0.174305	0.202366	0.163936	0.137005	0.149741	0.186307	0.207555	0.153154	0.172878	0.161038	0.186307	0.189118	0.152863	0.151681	0.148276	0.186602	0.17193	0.195792	0.212637	0.185743	0.182841	0.204881	0.163936	0.152129	0.173882	0.175235	0.19313	0.195739	0.178483	0.171375	0.15875	0.152586	0.188985	0.15185	0.185374	0.186403	0.208507	0.152016	0.181159	0.15185	0.15185	0.205839	0.153154	0.194955	0.186643	0.170036	0.173768	0.171528	0.165679	0.20379	0.135034	0.184157	0.184797	0.172599	0.170317	0.173768	0.177416	0.169259	0.19544	0.144376	0.178483	0.164361	0.179038	0.135034	0.186439	0.19544	0.142774	0.213556	0.168673	0.156444	0.174422	0.190501	0.201921	0.177166	0.180504	0.162515
4000	slope	-0.00396183	-0.028115	0.00569318	-0.0235315	-0.0092602	-0.0191657	-0.0135012	0.0109446	-0.00768336	-0.0229894	-0.0100909	0.0101479	-0.0211202	0.000317417	0.0188102	-0.00103745	-0.00775314	-0.00782982	-0.0212839	-0.00539999	-0.0169023	-0.0160205	-0.00146357	-0.00485569	-0.0153803	-0.029976	-0.00639464	0.0101479	-0.0266608	-0.0160205	-0.0782396	-0.0137808	0.0219945	-0.0122869	-0.0155398	-0.00312373	-0.0212327	-0.0088243	-0.0242095	-0.00556797	-0.00288739	0.00876182	-0.0131797	-0.0268352	-0.00244104	-0.017411	-0.0229894	0.00645569	-0.0292081	-0.0178923	-0.00555273	-0.0401125	-0.0410883	-0.0434549	-0.0135284	-0.0500236	0.0147822	0.0161903	0.00900863	-0.0231033	-0.00530967	0.0101479	0.00320507	-0.0161686	-0.0041282	0.0113566	-0.0121204	0.00375772	-0.0428539	-0.0235982	-0.0209521	-0.00460683	-0.017084	-0.00763051	-0.0167157	-0.0132296	-0.0102459	-0.00639464	-0.0333754	-0.0187476	-0.0212839	-0.00818149	-0.00395612	-0.0212839	-0.0014837	-0.00963562	-0.00560542	-0.0015731	-0.00625952	-0.0212734	0.00866745	0.0181366	0.0199342	0.0159255	-0.0075801	-0.000507438	0.0171142	-0.0116725	-0.0257558	-0.0304478	-0.0434549	0.0150384	-0.00600319	-0.0428539	-0.0270981	-0.0153419	-0.0106181	-0.0231939	0.0137921	-0.00126955	0.00276347	-0.0513627	-0.0201712	-0.0602931	-0.0212839	-0.011679	-0.0181926	-0.00600319	-0.0254398	-0.0536657	-0.0322364	-0.0158039	-0.0343121	-0.030644	-0.017411	-0.0267131	-0.00517539	-0.0153419	-0.00545394	0.021487	0.00331545	-0.0153419	-0.00207881	-0.0212839	-0.0212839	0.00522056	0.013809	-0.0208114	-0.0020933	-0.017411	0.00608116	-0.00395612	0.0453348	-0.0286399	-0.0212839	-0.0208114	-0.038754	0.0101479	0.00214153	-0.00287515	0.00292338	-0.019913	0.0101479	0.00926112	-0.00818149	0.00365966	-0.0133805	0.0184137	-0.0420241	-0.00740209	-0.0135992	-0.0533119	-0.00381897	-0.00295707	-0.030778	-0.0288527	0.0146277	0.0106047	-0.0201712	-0.017411	0.0091947	-0.0602931	-0.00819326	-0.0199702	-0.0122197	0.00202706	-0.0405407	0.00406448	-0.0135489	0.0135691	-0.00964509	-0.0487327	-0.0379538	-0.003498	-0.00542828	-0.0167819	0.0101479	-0.00639464	-0.0397287	-0.0212839	-0.00775314	0.0192068	-0.00288739	-0.0212839	-0.0239006	-0.0290831	-0.00545394	-0.0260047	-0.0212839	-0.0383768
4000	intercept	0.0983027	0.0699291	0.101407	0.10443	0.0847453	0.0959451	0.0815784	0.0727148	0.080719	0.109715	0.090154	0.0616887	0.0559089	0.0513981	0.0805084	0.0902174	0.0599194	0.0754754	0.0698162	0.109594	0.0828707	0.100739	0.127718	0.118228	0.0276582	0.107717	0.0906039	0.0616887	0.0510753	0.100739	0.0940409	0.100074	0.0932007	0.0885994	0.0966466	0.0753629	0.0991973	0.0853031	0.0988525	0.0735706	0.051498	0.051498	0.0761986	0.0495733	0.0891328	0.125466	0.101985	0.0950536	0.151131	0.0472152	0.101292	0.155736	0.0728722	0.119403	0.0447269	0.0818635	0.0981596	0.0897704	0.106424	0.0890971	0.0767609	0.0760825	0.0919585	0.100739	0.0645328	0.0897704	0.0906039	0.107382	0.098518	0.119856	0.102921	0.0922479	0.151131	0.095556	0.104511	0.106313	0.112413	0.0885522	0.0510753	0.118653	0.0549719	0.0754754	0.0882932	0.0559436	0.0937633	0.0652236	0.106439	0.0647596	0.0967975	0.0732652	0.0680799	0.0810336	0.120274	0.0731797	0.0878303	0.0906785	0.0608546	0.080298	0.102976	0.0472631	0.117347	0.110639	0.0591184	0.098518	0.0559436	0.0675827	0.105611	0.10393	0.0867915	0.0927202	0.12062	0.100351	0.0960857	0.0641671	0.0559436	0.109715	0.0595311	0.0591184	0.0535594	0.0429164	0.147188	0.121716	0.0720016	0.106602	0.114152	0.0404078	0.15125	0.0445849	0.0733777	0.0760825	0.0626371	0.0717498	0.0754656	0.0960168	0.0730409	0.0763933	0.0415102	0.0720016	0.182088	0.125466	0.0907254	0.0882932	0.107939	0.0598576	0.0720016	0.0720016	0.0649455	0.0616887	0.123336	0.0990693	0.120237	0.0728544	0.0818562	0.135903	0.0754754	0.110903	0.0703963	0.0810178	0.11622	0.0702868	0.11958	0.0552176	0.123336	0.098865	0.109132	0.0722974	0.064692	0.123336	0.0960857	0.11274	0.0616887	0.0641671	0.0673582	0.114929	0.129146	0.0467377	0.0684943	0.0415424	0.108312	0.0968682	0.11622	0.0552176	0.0665296	0.0754754	0.081699	0.151131	0.0849795	0.0906039	0.114383	0.0549719	0.0599194	0.0760825	0.051498	0.0718493	0.119271	0.0549935	0.0733777	0.0669976	0.096504	0.0891871
5000	slope	-0.0142904	0.00531816	-0.0187768	0.0203055	-0.026898	0.0428938	-0.0168608	-0.0378031	-0.0361438	-0.00801314	-0.0168369	-0.0377667	-0.0261024	-0.0564565	-0.0444129	-0.0411119	0.0455659	-0.0362546	-0.0197101	-0.0013918	-0.0335735	-0.046816	-0.0531611	0.0483867	-0.0244032	-0.0412684	0.00693807	-0.0217041	-0.00810858	0.008258	-0.0158416	-0.0138766	0.0176124	-0.0224423	-0.0508966	-0.00378674	-0.0343647	-0.0131893	-0.00453328	0.0428836	0.0071649	-0.0280017	0.00628925	-0.0279652	-0.0287844	-0.00855466	-0.0373623	-0.0351816	-0.042183	-0.0168058	-0.0139604	-0.0389819	-0.0174284	-0.0142904	-0.0598002	-0.0164814	-0.0170731	-0.0407161	-0.0221873	-0.0444129	0.0155599	0.0483867	-0.0279652	-0.0558119	0.0339154	0.0164044	-0.0364793	0.0320217	0.0292487	-0.0239333	-0.0284759	-0.037427	-0.00112565	-0.0351104	-0.00794002	0.0023615	-0.00861116	-0.0668314	0.0186631	0.0121839	-0.0151727	0.00591958	-0.0412684	0.0132392	-0.0364793	0.017697	0.00176565	-0.0508966	-0.0449224	-0.0231108	-0.0155396	0.000538737	0.0116452	-0.00457838	-0.0412191	-0.0320905	-0.0570337	-0.00609669	0.017291	-0.0389819	-0.0525481	-0.0306075	-0.0430723	0.0218544	-0.0670552	0.00559862	-0.0400759	0.0116452	-0.0412191	-0.0475537	-0.00930415	0.0170106	0.0483867	-0.0175625	0.0455659	0.0483867	-0.0196802	-0.0350644	-0.042183	0.0340158	-0.0115198	0.0355125	-0.0412684	0.00624245	-0.0412684	-0.0453929	-0.00018713	0.0232505	-0.0339595	0.0174213	-0.00598032	-0.0504841	-0.0214215	-0.0452108	-0.0600397	-0.0268317	0.0360379	-0.010697	-0.0363559	-0.0687799	0.0133075	-0.0155779	-0.0218874	-0.0197101	0.0175722	0.0246572	-0.0233316	0.0339738	-0.0389819	-0.0169665	-0.0395907	-0.0364793	-0.0378323	-0.0275103	0.0232505	0.0352427	0.0320217	-0.0136111	-0.00906013	-0.0151727	-0.0668314	-0.0430723	0.0315194	-0.0279797	-0.0873854	0.0365634	0.0320217	-0.0217613	-0.0690694	-0.0324344	-0.0335735	0.0177256	-0.0622174	0.0354893	-0.0364793	-0.0324344	0.0232505	-0.0252159	-0.0344316	0.0232505	-0.00586866	0.0132392	-0.0334126	0.0232505	-0.0279185	0.00333569	0.0159147	0.0175722	-0.0193034	-0.0253463	-0.0339595	-0.00985467	-0.0239333	0.0199736	-0.0159812	-0.0412191	0.0455659	-0.0184285	0.00623502	-0.0279652
