"alpha"	"delta"	"mig"	"cost"	"mu"	"sigma"	"gen"	"popsize"	"nsampled"	"seed"	"generation"	"param"	"Haplotype"	"Param_value"
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl1"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl2"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl3"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl4"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl5"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl6"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl7"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl8"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl9"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl10"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl11"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl12"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl13"	-0.0087805
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl14"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl15"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl16"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl17"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl18"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl19"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"slope"	"Hapl20"	0
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"intercept"	"Hapl1"	0.5
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"intercept"	"Hapl2"	0.5
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"intercept"	"Hapl3"	0.5
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"intercept"	"Hapl4"	0.506199
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"intercept"	"Hapl5"	0.5
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"intercept"	"Hapl6"	0.5
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"intercept"	"Hapl7"	0.5
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"intercept"	"Hapl8"	0.5
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"intercept"	"Hapl9"	0.5
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"intercept"	"Hapl10"	0.5
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"intercept"	"Hapl11"	0.5
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"intercept"	"Hapl12"	0.5
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"intercept"	"Hapl13"	0.5
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"intercept"	"Hapl14"	0.5
"0.0"	"0.0"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2200612997344951865"	10	"intercept"	"Hapl15"	0.5
