"alpha"	"delta"	"mig"	"cost"	"mu"	"sigma"	"gen"	"popsize"	"nsampled"	"seed"	"generation"	"param"	"Individual"	"Param_value"
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind1"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind2"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind3"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind4"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind5"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind6"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind7"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind8"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind9"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind10"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind11"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind12"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind13"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind14"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind15"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind16"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind17"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind18"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind19"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"slope"	"Ind20"	0
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"intercept"	"Ind1"	0.5
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"intercept"	"Ind2"	0.5
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"intercept"	"Ind3"	0.500586
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"intercept"	"Ind4"	0.5
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"intercept"	"Ind5"	0.5
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"intercept"	"Ind6"	0.5
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"intercept"	"Ind7"	0.5
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"intercept"	"Ind8"	0.5
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"intercept"	"Ind9"	0.5
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"intercept"	"Ind10"	0.5
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"intercept"	"Ind11"	0.5
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"intercept"	"Ind12"	0.5
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"intercept"	"Ind13"	0.5
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"intercept"	"Ind14"	0.5
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"intercept"	"Ind15"	0.5
"0.0"	"0.0"	"0.1"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"1751263955953462723"	10	"intercept"	"Ind16"	0.5
